image_name,100_loss,200_loss,300_loss
233.JPEG,NULL,NULL,19.243133544921875
234.JPEG,NULL,NULL,19.022750854492188
235.JPEG,NULL,NULL,25.346195220947266
236.JPEG,NULL,NULL,26.991945266723636
237.JPEG,NULL,NULL,30.30865859985352
238.JPEG,NULL,NULL,23.15177154541016
239.JPEG,NULL,NULL,21.75468063354492
240.JPEG,NULL,NULL,20.90462875366211
241.JPEG,NULL,NULL,22.427244186401367
242.JPEG,NULL,NULL,26.434829711914062
243.JPEG,NULL,NULL,25.90597152709961
244.JPEG,NULL,NULL,27.68393898010254
245.JPEG,NULL,NULL,26.97076797485352
246.JPEG,NULL,NULL,24.547637939453125
247.JPEG,NULL,NULL,25.88541984558105
248.JPEG,NULL,NULL,23.360183715820312
249.JPEG,NULL,NULL,26.845121383666992
250.JPEG,NULL,NULL,18.64226531982422
251.JPEG,NULL,NULL,26.18563842773437
252.JPEG,NULL,NULL,25.0570068359375
253.JPEG,NULL,NULL,27.04728126525879
254.JPEG,NULL,NULL,26.183698654174805
255.JPEG,NULL,NULL,23.85944366455078
256.JPEG,NULL,NULL,24.9924430847168
257.JPEG,NULL,NULL,22.812664031982425
258.JPEG,NULL,NULL,21.920238494873047
259.JPEG,NULL,NULL,25.07194328308105
260.JPEG,NULL,NULL,21.75312614440918
261.JPEG,NULL,NULL,26.626087188720703
262.JPEG,NULL,NULL,23.699787139892575
263.JPEG,NULL,NULL,26.882158279418945
264.JPEG,NULL,NULL,17.67585563659668
265.JPEG,NULL,NULL,16.580577850341797
266.JPEG,NULL,NULL,26.117172241210938
267.JPEG,NULL,NULL,24.63902282714844
268.JPEG,NULL,NULL,24.604984283447266
269.JPEG,NULL,NULL,25.814022064208984
270.JPEG,NULL,NULL,27.366552352905277
271.JPEG,NULL,NULL,16.334383010864258
272.JPEG,NULL,NULL,23.532686233520508
273.JPEG,NULL,NULL,21.25356674194336
274.JPEG,NULL,NULL,22.76771545410156
275.JPEG,NULL,NULL,25.264381408691406
276.JPEG,NULL,NULL,20.52444267272949
277.JPEG,NULL,NULL,15.40836238861084
278.JPEG,NULL,NULL,20.4127140045166
279.JPEG,NULL,NULL,24.5419864654541
280.JPEG,NULL,NULL,25.80102157592773
281.JPEG,NULL,NULL,25.45576286315918
282.JPEG,NULL,NULL,23.63065719604492
283.JPEG,NULL,NULL,22.283544540405277
284.JPEG,NULL,NULL,23.542503356933597
285.JPEG,NULL,NULL,29.77806663513184
286.JPEG,NULL,NULL,24.212894439697266
287.JPEG,NULL,NULL,31.02130889892578
288.JPEG,NULL,NULL,26.576675415039062
289.JPEG,NULL,NULL,20.104278564453125
290.JPEG,NULL,NULL,23.63593292236328
291.JPEG,NULL,NULL,24.571195602416992
292.JPEG,NULL,NULL,20.90704917907715
293.JPEG,NULL,NULL,23.46479034423828
294.JPEG,NULL,NULL,26.332992553710938
295.JPEG,NULL,NULL,25.83540153503418
296.JPEG,NULL,NULL,23.290346145629883
297.JPEG,NULL,NULL,24.03793334960937
298.JPEG,NULL,NULL,23.36255645751953
299.JPEG,NULL,NULL,25.8283805847168
300.JPEG,NULL,NULL,24.6726131439209
